ccode,name,isic3rev2,isicnames,ID_elast,ID_elast_se
"BFA","BURKINA FASO","356","Plastic products",-.968883,.0880815
"BFA","BURKINA FASO","361","Pottery  china  earthenware",-.7720096,.3815768
"BFA","BURKINA FASO","362","Glass and products",-1.006906,.0102299
"BFA","BURKINA FASO","369","Other non-metallic mineral products",-.964448,.0681809
"BFA","BURKINA FASO","371","Iron and steel",-1.011265,.0165711
"BFA","BURKINA FASO","372","Non-ferrous metals",-1.018421,.0600758
"BFA","BURKINA FASO","381","Fabricated metal products",-.9730668,.0506392
"BFA","BURKINA FASO","382","Machinery  except electrical",-.9711777,.0614074
"BFA","BURKINA FASO","383","Machinery  electric",-1.756607,.9005798
"BFA","BURKINA FASO","384","Transport equipment",-1.045953,.0091867
"BFA","BURKINA FASO","385","Professional and scientific equipment",-.9750441,.0168837
"BFA","BURKINA FASO","390","Other manufactured products",-1.132204,.1341577
"BGD","BANGLADESH","311","Food products",-1.076569,.0563695
"BGD","BANGLADESH","313","Beverages",-10.30564,5.478853
"BGD","BANGLADESH","314","Tobacco",-.9783745,.6853969
"BGD","BANGLADESH","321","Textiles",-1.111751,.0739818
"BGD","BANGLADESH","322","Wearing apparel  except footwear",-.8885246,.5232153
"BGD","BANGLADESH","323","Leather products",-1.228696,2.026202
"BGD","BANGLADESH","332","Furniture  except metal",-.8923411,.8168405
"BGD","BANGLADESH","341","Paper and products",-1.483929,.3909806
"BGD","BANGLADESH","342","Printing and publishing",-1.708486,1.530008
"BGD","BANGLADESH","351","Industrial chemicals",-1.015278,.0137387
"BGD","BANGLADESH","352","Other chemicals",-.9845497,.0409433
"BGD","BANGLADESH","353","Petroleum refineries",-.5424621,.6402193
"BGD","BANGLADESH","354","Miscellaneous petroleum and coal products",-1.016485,.0637342
"BGD","BANGLADESH","355","Rubber products",-1.073639,.1673223
"BGD","BANGLADESH","356","Plastic products",-.9093664,.2563747
"BGD","BANGLADESH","362","Glass and products",-1.016457,.029021
"BGD","BANGLADESH","369","Other non-metallic mineral products",-.8982764,.1628107
"BGD","BANGLADESH","371","Iron and steel",-1.00718,.0260616
"BGD","BANGLADESH","372","Non-ferrous metals",-1.011621,.0324689
"BGD","BANGLADESH","381","Fabricated metal products",-.9063114,.1461848
"BGD","BANGLADESH","382","Machinery  except electrical",-.91822,.1118966
"BGD","BANGLADESH","383","Machinery  electric",-3.00209,2.409747
"BGD","BANGLADESH","384","Transport equipment",-.9839466,.0242686
"BGD","BANGLADESH","385","Professional and scientific equipment",-.9056663,.0555383
"BGD","BANGLADESH","390","Other manufactured products",-1.11719,.1250236
"BGR","BULGARIA","311","Food products",-1.06156,.0377298
"BGR","BULGARIA","313","Beverages",-1.555928,.310082
"BGR","BULGARIA","314","Tobacco",-.9980097,.0938302
"BGR","BULGARIA","321","Textiles",-1.098358,.0558392
"BGR","BULGARIA","322","Wearing apparel  except footwear",-.9956854,.0648652
"BGR","BULGARIA","323","Leather products",-1.011389,.0257867
"BGR","BULGARIA","324","Footwear  except rubber or plastic",-.5550619,.6189797
"BGR","BULGARIA","331","Wood products  except furniture",-.7684776,.2495757
"BGR","BULGARIA","332","Furniture  except metal",-.9992143,.0127803
"BGR","BULGARIA","341","Paper and products",-1.100554,.07053
"BGR","BULGARIA","342","Printing and publishing",-1.203288,.4163625
"BGR","BULGARIA","351","Industrial chemicals",-1.029516,.0054504
"BGR","BULGARIA","352","Other chemicals",-1.016921,.0058853
"BGR","BULGARIA","353","Petroleum refineries",-.847687,.2208804
"BGR","BULGARIA","354","Miscellaneous petroleum and coal products",-1.002456,.0064351
"BGR","BULGARIA","355","Rubber products",-1.022361,.0414432
"BGR","BULGARIA","356","Plastic products",-.976245,.0711703
"BGR","BULGARIA","361","Pottery  china  earthenware",-.690251,.5086126
"BGR","BULGARIA","362","Glass and products",-1.00586,.0070035
"BGR","BULGARIA","369","Other non-metallic mineral products",-.8562951,.2271032
"BGR","BULGARIA","371","Iron and steel",-1.012629,.0147972
"BGR","BULGARIA","372","Non-ferrous metals",-1.010453,.0112976
"BGR","BULGARIA","381","Fabricated metal products",-.9888747,.034222
"BGR","BULGARIA","382","Machinery  except electrical",-1.019639,.0295353
"BGR","BULGARIA","383","Machinery  electric",-1.508214,.5860557
"BGR","BULGARIA","384","Transport equipment",-1.019737,.0081952
"BGR","BULGARIA","385","Professional and scientific equipment",-.9911272,.009059
"BGR","BULGARIA","390","Other manufactured products",-1.046252,.0434269
"BHR","BAHRAIN","311","Food products",-1.056298,.020621
"BHR","BAHRAIN","313","Beverages",-1.204617,.1146637
"BHR","BAHRAIN","314","Tobacco",-1.002851,.0100753
"BHR","BAHRAIN","321","Textiles",-1.11615,.0775642
"BHR","BAHRAIN","322","Wearing apparel  except footwear",-.9803369,.1114388
"BHR","BAHRAIN","323","Leather products",-1.037012,.2690434
"BHR","BAHRAIN","324","Footwear  except rubber or plastic",-.8119354,.2610706
"BHR","BAHRAIN","331","Wood products  except furniture",-.8950303,.1146936
"BHR","BAHRAIN","332","Furniture  except metal",-1.003617,.0037478
"BHR","BAHRAIN","341","Paper and products",-1.15411,.1129323
"BHR","BAHRAIN","342","Printing and publishing",-1.194906,.4000131
"BHR","BAHRAIN","351","Industrial chemicals",-1.03662,.0039939
"BHR","BAHRAIN","352","Other chemicals",-1.009238,.0087582
"BHR","BAHRAIN","353","Petroleum refineries",-.9916987,.0228985
"BHR","BAHRAIN","354","Miscellaneous petroleum and coal products",-1.002337,.0018471
"BHR","BAHRAIN","355","Rubber products",-1.040794,.0887834
"BHR","BAHRAIN","356","Plastic products",-.9800813,.0649471
"BHR","BAHRAIN","361","Pottery  china  earthenware",-.9530914,.0804613
"BHR","BAHRAIN","362","Glass and products",-1.005513,.0049853
"BHR","BAHRAIN","369","Other non-metallic mineral products",-.9658127,.0659309
